CensusSection;HouseholdIncome2016
2807901001;48511
2807901002;28573
2807901003;32679
2807901004;54358
2807901006;42196
2807901007;35860
2807901008;39661
2807901009;35280
2807901011;35185
2807901012;30652
2807901013;24057
2807901014;31640
2807901015;32640
2807901016;33716
2807901018;34177
2807901019;34506
2807901020;31531
2807901021;33727
2807901022;30904
2807901023;25051
2807901024;27288
2807901025;34288
2807901026;35593
2807901027;35141
2807901028;28521
2807901029;27594
2807901030;23320
2807901031;22651
2807901032;30314
2807901033;23393
2807901034;20910
2807901035;23320
2807901036;22996
2807901037;25951
2807901038;21274
2807901039;24783
2807901040;25837
2807901041;26227
2807901042;26538
2807901043;22158
2807901045;27237
2807901046;27960
2807901047;24174
2807901048;23885
2807901049;21972
2807901050;23773
2807901051;22206
2807901053;27092
2807901054;22980
2807901055;29217
2807901056;30137
2807901057;34929
2807901058;36308
2807901059;31667
2807901061;34574
2807901062;35528
2807901063;39052
2807901064;37491
2807901065;36682
2807901066;27730
2807901067;35808
2807901068;38891
2807901069;30969
2807901071;45430
2807901072;49297
2807901073;63979
2807901074;33538
2807901075;29268
2807901076;31428
2807901077;40734
2807901079;37526
2807901081;30712
2807901082;34506
2807901084;50376
2807901087;69073
2807901088;49688
2807901089;38776
2807901090;39010
2807901091;32449
2807901092;29718
2807901093;29954
2807901094;29058
2807901095;31012
2807901096;25954
2807901097;28732
2807901098;26813
2807901099;28071
2807901100;26950
2807901101;28006
2807901102;27530
2807901103;43395
2807901104;29102
2807901105;31013
2807901106;43971
2807901107;50440
2807901108;41961
2807901109;30176
2807901110;28600
2807901111;33841
2807901112;31100
2807901113;29430
2807901114;30762
2807901115;31758
2807901116;27141
2807901117;32601
2807901118;28577
2807901119;26378
2807901120;31377
2807901121;32143
2807901123;33894
2807901124;38674
2807902001;34324
2807902002;30600
2807902003;43856
2807902004;44556
2807902005;35648
2807902006;43202
2807902007;46124
2807902008;36031
2807902009;51602
2807902010;39495
2807902011;47378
2807902013;40634
2807902014;39690
2807902015;39046
2807902016;50081
2807902017;50381
2807902018;53962
2807902019;55118
2807902020;43455
2807902021;33284
2807902022;29466
2807902023;33407
2807902024;34881
2807902025;33740
2807902026;34800
2807902027;39315
2807902028;22071
2807902029;24462
2807902030;38324
2807902031;50415
2807902032;39362
2807902033;37086
2807902034;37876
2807902035;33504
2807902036;33548
2807902037;39531
2807902038;32929
2807902039;35723
2807902040;33187
2807902041;30214
2807902042;33671
2807902043;30086
2807902044;32025
2807902045;31975
2807902046;22288
2807902047;24813
2807902048;31281
2807902049;51591
2807902050;29921
2807902051;44168
2807902052;47419
2807902053;42945
2807902054;31839
2807902055;37794
2807902056;33935
2807902057;32308
2807902058;28233
2807902059;34105
2807902060;35188
2807902061;32885
2807902062;31696
2807902063;29890
2807902064;34459
2807902065;31809
2807902066;42980
2807902067;25983
2807902068;26726
2807902069;35543
2807902070;37731
2807902071;36786
2807902072;33472
2807902073;36720
2807902074;35274
2807902075;33220
2807902077;32978
2807902078;33828
2807902079;35344
2807902080;43466
2807902081;34956
2807902082;28505
2807902083;38575
2807902085;55903
2807902086;43710
2807902087;58177
2807902088;32142
2807902089;47105
2807902090;46051
2807902091;44311
2807902092;46609
2807902093;44045
2807902094;69430
2807902095;52494
2807902096;70196
2807902097;53982
2807902098;48910
2807902099;47547
2807902100;46568
2807902101;56454
2807902102;55442
2807902103;56247
2807902104;49743
2807902105;52435
2807902106;51835
2807902107;54414
2807902108;56355
2807902109;50067
2807902110;60038
2807903001;65482
2807903002;35284
2807903003;41866
2807903004;33304
2807903005;33090
2807903006;46113
2807903007;29691
2807903008;36466
2807903009;41375
2807903010;43902
2807903011;38684
2807903012;44392
2807903013;41063
2807903014;44523
2807903015;36005
2807903016;26932
2807903017;42522
2807903018;35642
2807903019;51587
2807903020;34553
2807903021;36043
2807903022;28296
2807903023;36708
2807903024;39327
2807903025;40872
2807903026;39420
2807903027;34621
2807903028;45965
2807903029;56834
2807903030;68972
2807903031;45988
2807903032;47297
2807903033;46966
2807903034;56311
2807903035;57205
2807903036;72149
2807903037;71871
2807903038;70412
2807903039;68386
2807903040;70430
2807903041;54021
2807903042;49088
2807903044;51964
2807903045;59619
2807903046;62999
2807903047;46428
2807903048;49519
2807903049;50878
2807903050;44259
2807903051;51620
2807903052;46177
2807903053;40139
2807903054;54561
2807903055;32547
2807903056;50317
2807903057;51109
2807903058;39165
2807903059;35213
2807903060;42841
2807903061;34830
2807903062;45132
2807903063;46019
2807903064;61048
2807903065;54641
2807903066;44433
2807903067;65471
2807903069;89015
2807903070;89015
2807903071;89015
2807903073;53535
2807903074;51154
2807903076;58401
2807903077;65842
2807903078;66252
2807903079;42669
2807903080;75603
2807903081;89015
2807903082;89015
2807903084;70963
2807903085;75420
2807903086;50855
2807903087;66031
2807903088;44484
2807903089;58643
2807903090;70362
2807903091;74325
2807903092;65108
2807903093;70410
2807903094;70383
2807903095;55271
2807903096;57670
2807903097;48155
2807903098;39368
2807903099;39232
2807904001;89015
2807904002;89015
2807904003;79749
2807904004;89015
2807904005;89015
2807904006;89015
2807904007;81703
2807904008;53654
2807904009;89015
2807904010;89015
2807904011;65894
2807904012;89015
2807904013;80652
2807904014;56681
2807904015;67518
2807904016;57900
2807904017;58673
2807904018;50909
2807904019;56472
2807904020;51800
2807904021;48626
2807904023;52485
2807904024;38826
2807904025;40628
2807904026;45654
2807904027;41537
2807904028;45804
2807904029;60369
2807904030;51647
2807904031;57732
2807904032;42123
2807904033;44411
2807904034;48629
2807904035;43547
2807904036;51700
2807904037;43249
2807904038;46073
2807904039;49153
2807904040;60531
2807904041;40976
2807904042;74148
2807904043;55755
2807904044;50987
2807904045;40244
2807904046;44237
2807904047;44310
2807904048;42276
2807904049;33231
2807904050;36425
2807904051;35019
2807904052;37790
2807904053;34111
2807904054;44399
2807904055;41560
2807904056;50833
2807904057;39348
2807904058;41840
2807904060;35657
2807904061;54327
2807904062;42946
2807904063;41103
2807904064;48916
2807904065;44009
2807904067;43339
2807904068;47310
2807904069;44157
2807904070;38951
2807904071;44190
2807904072;45287
2807904073;53832
2807904074;46952
2807904075;59644
2807904076;72349
2807904077;74504
2807904078;70640
2807904079;65151
2807904080;81661
2807904081;74460
2807904082;56830
2807904083;50139
2807904084;50196
2807904085;40363
2807904086;43891
2807904087;41552
2807904088;40388
2807904089;35857
2807904090;37852
2807904091;31586
2807904092;38460
2807904093;33804
2807904094;48613
2807904095;37180
2807904096;59767
2807904097;65889
2807904098;63268
2807904099;44330
2807904100;56075
2807904101;37044
2807904102;37433
2807904103;39243
2807904104;42532
2807904105;49340
2807904106;36478
2807904107;58966
2807904108;44648
2807904109;49656
2807904110;47708
2807904111;61879
2807904112;52053
2807904113;62927
2807904114;89015
2807904115;89015
2807904116;89015
2807904117;89015
2807904118;89015
2807904119;89015
2807904120;89015
2807904121;74954
2807904123;59407
2807904124;44236
2807904126;66002
2807904127;54818
2807904128;43215
2807904129;61717
2807904130;71594
2807905001;89015
2807905002;89015
2807905003;89015
2807905004;89015
2807905005;89015
2807905006;89015
2807905007;86493
2807905008;89015
2807905009;89015
2807905010;73298
2807905011;45179
2807905012;48820
2807905013;64684
2807905014;43366
2807905015;40107
2807905016;33502
2807905017;35815
2807905018;33972
2807905019;36383
2807905020;41734
2807905021;33624
2807905022;38867
2807905023;49852
2807905024;42395
2807905025;42963
2807905026;44079
2807905027;38783
2807905028;36600
2807905029;34492
2807905030;33553
2807905031;44736
2807905032;38115
2807905033;53658
2807905034;47016
2807905035;49353
2807905036;54066
2807905037;62499
2807905038;75467
2807905039;51203
2807905040;38677
2807905041;30567
2807905042;38727
2807905043;54250
2807905044;34854
2807905045;37068
2807905046;37572
2807905047;35550
2807905048;44935
2807905049;58976
2807905051;55663
2807905052;61301
2807905053;89015
2807905054;67955
2807905055;56481
2807905056;45076
2807905057;43953
2807905058;46788
2807905059;38681
2807905060;43613
2807905061;72481
2807905062;72358
2807905063;77443
2807905064;77455
2807905065;45662
2807905066;82142
2807905067;73945
2807905068;89015
2807905069;89015
2807905070;71984
2807905072;66422
2807905073;87820
2807905074;89015
2807905075;89015
2807905076;89015
2807905077;89015
2807905078;89015
2807905079;50237
2807905080;44756
2807905081;66676
2807905082;89015
2807905083;51040
2807905084;67159
2807905085;80544
2807905086;41290
2807905087;53027
2807905088;58899
2807905089;61596
2807905090;42311
2807905091;43328
2807905092;27918
2807905094;59108
2807905095;70218
2807905096;43213
2807905097;60612
2807905098;37545
2807905099;55370
2807905100;89015
2807905101;60401
2807905102;66789
2807906001;33577
2807906002;30136
2807906003;30354
2807906004;27114
2807906005;28352
2807906006;27862
2807906007;30945
2807906008;28526
2807906009;35721
2807906010;45202
2807906011;31461
2807906012;30209
2807906013;27311
2807906014;31772
2807906015;25831
2807906016;27861
2807906017;25361
2807906018;29653
2807906019;25049
2807906021;27137
2807906023;47455
2807906024;35981
2807906025;29150
2807906026;36669
2807906027;47161
2807906028;79730
2807906029;46705
2807906031;56497
2807906032;31396
2807906033;33949
2807906034;31615
2807906035;29841
2807906036;31720
2807906037;30083
2807906038;69205
2807906039;68997
2807906040;73816
2807906041;42327
2807906042;33708
2807906043;32853
2807906044;53010
2807906045;49464
2807906046;55251
2807906048;58987
2807906049;50689
2807906050;46337
2807906051;51765
2807906052;39194
2807906053;40187
2807906054;35637
2807906056;31119
2807906057;37960
2807906058;38319
2807906059;52741
2807906060;37430
2807906061;42575
2807906062;67591
2807906063;82430
2807906064;89015
2807906065;76508
2807906066;41067
2807906067;33853
2807906068;30068
2807906069;32356
2807906070;37668
2807906071;63228
2807906072;39336
2807906073;24389
2807906074;22485
2807906075;30108
2807906076;33043
2807906077;37208
2807906078;34870
2807906079;44552
2807906080;31417
2807906081;25373
2807906084;22216
2807906085;26211
2807906089;26161
2807906090;27385
2807906091;28602
2807906092;32650
2807906093;28407
2807906094;29128
2807906095;30103
2807906096;24401
2807906097;28329
2807906098;26760
2807906099;23787
2807906101;28645
2807906102;27937
2807906103;32442
2807906104;27206
2807906105;28289
2807906106;30382
2807906107;33299
2807906108;28787
2807906109;29394
2807906110;27006
2807906111;33689
2807906112;27118
2807906113;30137
2807906114;29613
2807906115;24892
2807906116;28969
2807906117;32523
2807906118;30690
2807906119;28742
2807906120;27564
2807906121;29372
2807906122;31060
2807906123;25722
2807906124;28131
2807906125;46095
2807906126;28200
2807906127;29332
2807906128;26717
2807906129;26867
2807907001;42242
2807907002;46430
2807907003;34955
2807907004;37874
2807907005;38019
2807907006;46058
2807907007;46100
2807907008;56230
2807907009;37456
2807907010;43008
2807907011;32961
2807907012;39041
2807907013;48945
2807907014;41799
2807907016;34563
2807907017;44834
2807907018;47352
2807907019;47903
2807907021;61147
2807907023;57959
2807907024;42881
2807907025;41766
2807907026;40613
2807907028;43490
2807907030;38999
2807907031;39843
2807907032;32495
2807907034;33550
2807907035;33829
2807907036;38601
2807907038;36805
2807907039;43411
2807907040;32640
2807907041;37383
2807907042;76035
2807907043;58036
2807907044;64173
2807907045;36095
2807907046;41122
2807907047;43925
2807907048;52724
2807907049;58959
2807907050;42975
2807907051;36990
2807907052;42137
2807907053;37109
2807907055;41057
2807907056;40670
2807907057;43481
2807907058;34980
2807907059;48131
2807907060;41958
2807907061;38100
2807907062;39053
